LEA_NAME,STATE,ZIP,OP
Career Success Schools (79047),ARIZONA,85053,4
Kaizen Education Foundation dba South Pointe Eleme (79233),ARIZONA,85020,1
Daisy Education Corporation dba Sonoran Science Ac (79049),ARIZONA,85224,1
Horizon Community Learning Center Inc. (79264),ARIZONA,85048,1
Kaizen Education Foundation dba South Pointe Junio (78965),ARIZONA,85020,1
Milestones Charter School (79207),ARIZONA,85032,1
Pathfinder Charter School Foundation (79024),ARIZONA,85053,1
James Madison Preparatory School (79063),ARIZONA,85283,1
Self Development Charter School (79072),ARIZONA,85205,1
Excalibur Charter Schools Inc. (79214),ARIZONA,85120,1
Paramount Education Studies Inc (79205),ARIZONA,85345,1
Metropolitan Arts Institute Inc. (5181),ARIZONA,85007,1
P.L.C. Charter Schools (6235),ARIZONA,85353,1
Paragon Management Inc. (5180),ARIZONA,85388,2
Skyline Schools Inc. (79084),ARIZONA,85225,1
Edkey Inc. - Sequoia Charter School (6446),ARIZONA,85204,2
Edkey Inc. - Sequoia Village School (79211),ARIZONA,85204,3
Telesis Center for Learning Inc. (79218),ARIZONA,86403,2
Southern Arizona Community Academy Inc. (79000),ARIZONA,85716,2
Tucson Country Day School Inc. (79073),ARIZONA,85715,1
Carden of Tucson Inc. (78858),ARIZONA,85705,1
Southgate Academy Inc. (79085),ARIZONA,85715,1
Eastpointe High School Inc. (78833),ARIZONA,85710,1
Patagonia Montessori Elementary School (79069),ARIZONA,85624,1
Santa Cruz Valley Opportunities in Education Inc. (79066),ARIZONA,85646,1
PACE Preparatory Academy Inc. (79068),ARIZONA,86314,1
Kestrel Schools Inc. (79065),ARIZONA,86304,1
Juniper Tree Academy (79064),ARIZONA,85366,1
GAR LLC dba Student Choice High School (78997),ARIZONA,85281,2
AIBT Non-Profit Charter High School - Phoenix (79053),ARIZONA,85019,1
Highland Free School (79061),ARIZONA,85719,1
Academy with Community Partners  Inc (79213),ARIZONA,85203,1
Deer Valley Charter Schools Inc. (79496),ARIZONA,85027,1
West Gilbert Charter Elementary School Inc. (79497),ARIZONA,85053,1
Mohave Accelerated Learning Center (79498),ARIZONA,86439,1
Masada Charter School Inc. (79499),ARIZONA,86021,1
Harvest Power Community Development Group Inc. (79501),ARIZONA,85366,3
Omega Alpha Academy (79503),ARIZONA,85607,1
Montessori House Inc. d.b.a. Lehi Montessori  (79548),ARIZONA,85203,1
Premier Charter High School (79569),ARIZONA,85033,1
Pan-American Elementary Charter (79578),ARIZONA,85017,1
Kingman Unified School District (79598),ARIZONA,86401,11
El Centro for the Study of Primary and Secondary E (79640),ARIZONA,85705,0
Legacy Schools (79660),ARIZONA,85207,0
Visions Unlimited Academy Inc. (79671),ARIZONA,85602,0
North Star Charter School Inc. (79701),ARIZONA,85037,1
Calibre Academy (79055),ARIZONA,85308,1
E-Institute Charter Schools Inc. (79059),ARIZONA,85308,7
Yavapai Accommodation School District (79379),ARIZONA,86301,2
Cobre Valley Institute of Technology District (79391),ARIZONA,85173,7
Khalsa Family Services (79420),ARIZONA,85718,1
Aprender Tucson (79426),ARIZONA,85713,1
Acorn Montessori Charter School (79437),ARIZONA,86314,2
Pinnacle Education-WMCB Inc. (79439),ARIZONA,85210,2
Desert Rose AcademyInc. (79441),ARIZONA,85741,1
Crown Charter School Inc (79443),ARIZONA,85340,1
Success School (79453),ARIZONA,85378,1
Pointe Schools (79455),ARIZONA,85051,3
A Center for Creative Education (79457),ARIZONA,86326,1
American Virtual Academy (79461),ARIZONA,85225,1
Compass High School Inc. (79467),ARIZONA,85731,1
James Sandoval Preparatory High School (79475),ARIZONA,85033,1
Destiny School Inc. (6258),ARIZONA,85501,1
Noah Webster Schools - Mesa (10760),ARIZONA,85209,1
Valley Academy for Career and Technology Education (79397),ARIZONA,86326,7
Griffin Foundation Inc. The (79500),ARIZONA,85711,2
Pathways KM Charter Schools Inc (78890),ARIZONA,85255,0
Cochise Technology District (79403),ARIZONA,85643,12
Coconino Association for Vocation Industry and Tec (79381),ARIZONA,86040,12
Central Arizona Valley Institute of Technology (79385),ARIZONA,85128,9
Gila Institute for Technology (79387),ARIZONA,85552,9
PEAK School Inc. The (79866),ARIZONA,86004,1
Kaizen Education Foundation dba Vista Grove Prepar (79871),ARIZONA,85020,1
American Charter Schools Foundation d.b.a. Estrell (79873),ARIZONA,85020,1
American Charter Schools Foundation d.b.a. Peoria  (79875),ARIZONA,85020,1
American Charter Schools Foundation d.b.a. Sun Val (79877),ARIZONA,85020,1
American Charter Schools Foundation d.b.a. West Ph (79879),ARIZONA,85020,1
Nosotros Inc (79881),ARIZONA,85745,1
American Charter Schools Foundation d.b.a. Apache  (79883),ARIZONA,85020,1
Challenger Basic School Inc. (79886),ARIZONA,85205,1
Arizona Community Development Corporation (79947),ARIZONA,85712,3
SC Jensen Corporation Inc. dba Intelli-School (79951),ARIZONA,85021,1
PAS Charter Inc. dba Intelli-School (79953),ARIZONA,85021,2
Valley of the Sun Waldorf Education Association d (79957),ARIZONA,85042,1
Pima Prevention Partnership dba Pima Partnership S (79959),ARIZONA,85711,2
Academy of Mathematics and Science Inc. (79961),ARIZONA,85705,1
Midtown Primary School (79994),ARIZONA,85014,1
Tucson International Academy Inc. (79979),ARIZONA,85745,4
Bell Canyon Charter School Inc (79983),ARIZONA,85053,1
Cortez Park Charter Middle School Inc. (79988),ARIZONA,85053,1
West Gilbert Charter Middle School Inc. (79990),ARIZONA,85053,1
Carpe Diem Collegiate High School (80001),ARIZONA,85366,2
CPLC Community Schools dba Toltecalli High School (80032),ARIZONA,85714,1
American Charter Schools Foundation d.b.a. Desert  (79872),ARIZONA,85020,1
American Charter Schools Foundation d.b.a. Crestvi (79874),ARIZONA,85020,1
Kaizen Education Foundation dba Summit High School (79876),ARIZONA,85020,1
Kaizen Education Foundation dba Tempe Accelerated  (79878),ARIZONA,85020,1
Kaizen Education Foundation dba Skyview High Schoo (79880),ARIZONA,85020,1
Kaizen Education Foundation dba Maya High School (79882),ARIZONA,85020,1
Camelback Education Inc (79905),ARIZONA,85303,1
Vista Charter School (79907),ARIZONA,85035,1
Lifelong Learning Research Institute Inc. (79926),ARIZONA,85741,1
Avondale Learning dba Precision Academy (79929),ARIZONA,85035,1
LEAD Charter Schools (79967),ARIZONA,85296,4
All Aboard Charter School (79969),ARIZONA,85017,1
CAFA Inc. dba Learning Foundation Performing Arts (79971),ARIZONA,85296,1
Montessori Academy Inc. (80011),ARIZONA,85253,1
New World Educational Center (78882),ARIZONA,85014,1
Cholla Academy (5186),ARIZONA,85033,2
Akimel O Otham Pee Posh Charter School Inc. (5978),ARIZONA,85128,1
